TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
tickTime set to <*>,"['tickTime', 'set', 'to', '<*>']",{3: 'Time'},tickTime set to 2000,zookeeper
Got user-level KeeperException when processing sessionid:<*> type:<*> cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:<*> = <*> <*> <*>,"['Got', 'user-level', 'KeeperException', 'when', 'processing', 'sessionid', ':', '<*>', 'type', ':', '<*>', 'cxid', ':', '<*>', 'zxid', ':', '<*>', 'txntype', ':', '<*>', 'reqpath', ':', '<*>', 'Error', 'Path', ':', '<*>', 'Error', ':', '<*>', '=', '<*>', '<*>', '<*>']","{7: 'Object::Session', 10: 'Other::ClosedSet', 26: 'Location::Path', 29: 'Other::ClosedSet', 31: 'StatusMessage', 32: 'StatusMessage', 33: 'Location::Path'}",Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,zookeeper
Starting quorum peer,"['Starting', 'quorum', 'peer']",{},Starting quorum peer,zookeeper
Snapshotting: <*> to <*>,"['Snapshotting', ':', '<*>', 'to', '<*>']","{2: 'Object::ComputingResource', 4: 'Location::Path'}",Snapshotting: 0x300000dcd to /var/lib/zookeeper/version-2/snapshot.300000dcd,zookeeper
autopurge.purgeInterval set to <*>,"['autopurge.purgeInterval', 'set', 'to', '<*>']",{3: 'Object::ValueExpression'},autopurge.purgeInterval set to 0,zookeeper
Follower sid: <*> : info : <*>,"['Follower', 'sid', ':', '<*>', ':', 'info', ':', '<*>']",{},Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,zookeeper
maxSessionTimeout set to -1,"['maxSessionTimeout', 'set', 'to', '-1']",{},maxSessionTimeout set to -1,zookeeper
maxSessionTimeout set to -1,"['maxSessionTimeout', 'set', 'to', '-1']",{},maxSessionTimeout set to -1,zookeeper
<*>SessionTimeout set to <*>,"['<*>SessionTimeout', 'set', 'to', '<*>']",{3: 'Object::ValueExpression'},maxSessionTimeout set to -1,zookeeper
Have quorum of supporters; starting up and setting last processed zxid: <*>,"['Have', 'quorum', 'of', 'supporters', ';', 'starting', 'up', 'and', 'setting', 'last', 'processed', 'zxid', ':', '<*>']",{},Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,zookeeper
shutdown of request processor complete,"['shutdown', 'of', 'request', 'processor', 'complete']",{},shutdown of request processor complete,zookeeper
First is <*>,"['First', 'is', '<*>']",{2: 'Object::ValueExpression'},First is 0x0,zookeeper
Reading snapshot <*>,"['Reading', 'snapshot', '<*>']",{2: 'Location::Path'},Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,zookeeper
Sending DIFF,"['Sending', 'DIFF']",{},Sending DIFF,zookeeper
Getting a snapshot from leader,"['Getting', 'a', 'snapshot', 'from', 'leader']",{},Getting a snapshot from leader,zookeeper
IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,"['IOThunderboltSwitch', '<', '<*>', '>', '(', '<*>', ')', ':', ':', 'listenerCallback', '-', 'Thunderbolt', 'HPD', 'packet', 'for', 'route', '=', '<*>', 'port', '=', '<*>', 'unplug', '=', '<*>']","{2: 'Object::ValueExpression', 5: 'Object::ValueExpression', 20: 'Location::IP-Port::Port'}",IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,mac
Thermal pressure state: <*> Memory pressure state: <*>,"['Thermal', 'pressure', 'state', ':', '<*>', 'Memory', 'pressure', 'state', ':', '<*>']",{},Thermal pressure state: 1 Memory pressure state: 0,mac
FA||Url||taskID[<*>] dealloc,"['FA||Url||taskID', '[', '<*>', ']', 'dealloc']",{2: 'Object::ValueExpression'},FA||Url||taskID[2019352994] dealloc,mac
ARPT: <*>: AirPort_Brcm43xx::<*>: <*>[<*>],"['ARPT', ':', '<*>', ':', 'AirPort_Brcm43xx', ':', ':', '<*>', ':', '<*>', '[', '<*>', ']']",{},ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],mac
<*>: Frequent transitions for interface <*> (<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>),"['<*>', ':', 'Frequent', 'transitions', 'for', 'interface', '<*>', '(', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ')']","{6: 'Object::ComputingResource', 8: 'Location::IP-Port::IP', 10: 'Location::IP-Port::IP', 12: 'Location::IP-Port::IP', 14: 'Location::IP-Port::IP', 16: 'Location::IP-Port::IP', 18: 'Location::IP-Port::IP', 20: 'Location::IP-Port::IP', 22: 'Location::IP-Port::IP', 0: 'Object::ComputingResource'}",mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mac
"ARPT: <*>: IOPMPowerSource Information: <*>,  SleepType: <*> <*>,  'ExternalConnected': <*>, 'TimeRemaining': <*>,","['ARPT', ':', '<*>', ':', 'IOPMPowerSource', 'Information', ':', '<*>', ',', 'SleepType', ':', '<*>', '<*>', ',', ""'"", 'ExternalConnected', ""'"", ':', '<*>', ',', ""'"", 'TimeRemaining', ""'"", ':', '<*>', ',']","{11: 'Other::ClosedSet', 12: 'Other::ClosedSet', 18: 'Other::ClosedSet', 24: 'Time::Duration'}","ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",mac
"ARPT: <*>: <*>: wl_update_tcpkeep_seq: <*> Seq: <*>, Ack: <*>, Win size: <*>","['ARPT', ':', '<*>', ':', '<*>', ':', 'wl_update_tcpkeep_seq', ':', '<*>', 'Seq', ':', '<*>', ',', 'Ack', ':', '<*>', ',', 'Win', 'size', ':', '<*>']","{4: 'Object::ComputingResource', 8: 'Other::ClosedSet'}","ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",mac
ARPT: <*>: ARPT: Wake Reason: <*> <*> <*> <*>,"['ARPT', ':', '<*>', ':', 'ARPT', ':', 'Wake', 'Reason', ':', '<*>', '<*>', '<*>', '<*>']","{9: 'Other::ClosedSet', 10: 'Other::ClosedSet', 11: 'Other::ClosedSet', 12: 'Other::ClosedSet'}",ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,mac
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,"['__73-', '[', 'NetworkAnalyticsEngine', 'observeValueForKeyPath', ':', 'ofObject', ':', 'change', ':', 'context', ':', ']', '_block_invoke', 'unexpected', 'switch', 'value', '<*>']",{16: 'Object::ValueExpression'},__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,mac
"ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs","['ARPT', ':', '<*>', ':', '<*>', ':', 'MDNS', ':', '<*>', 'SRV', 'Recs', ',', '<*>', 'TXT', 'Recs']",{4: 'Object::ComputingResource'},"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",mac
AppleCamIn::systemWakeCall - messageType = <*>,"['AppleCamIn', ':', ':', 'systemWakeCall', '-', 'messageType', '=', '<*>']",{7: 'Object::ValueExpression'},AppleCamIn::systemWakeCall - messageType = 0xE0000340,mac
"setting hostname to ""<*>""","['setting', 'hostname', 'to', '""', '<*>', '""']",{4: 'Location::URL'},"setting hostname to ""authorMacBook-Pro.local""",mac
"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.","['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', 'isn', ""'"", 't', 'for', '<*>', 'seconds', '.', 'Ignoring.']","{20: 'Time::Duration', 0: 'Object::Process'}","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",mac
CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,"['CCIOReporterFormatter', ':', ':', 'addRegistryChildToChannelDictionary', 'streams', '<*>']",{5: 'Object::ValueExpression'},CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,mac
[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,"['[', '<*>', ':', '<*>', ':', '<*>', ']', '<', '<', '<', '<', 'CRABS', '>', '>', '>', '>', 'crabsFlumeHostAvailable', ':', '[', '<*>', ']', 'Byte', 'flume', 'reports', 'host', 'available', 'again.']","{1: 'Time::Timestamp', 3: 'Time::Timestamp', 5: 'Time::Timestamp', 19: 'Object::ValueExpression'}",[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,mac
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlAutoMode', 'Resuming', 'AWDL']",{},IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,mac
AirPort: Link Down on <*>. Reason <*> (<*>).,"['AirPort', ':', 'Link', 'Down', 'on', '<*>', '.', 'Reason', '<*>', '(', '<*>', ')', '.']","{5: 'Object::ComputingResource', 8: 'Object::ValueExpression', 10: 'StatusMessage'}",AirPort: Link Down on awdl0. Reason 1 (Unspecified).,mac
"PM response took <*> ms (<*>, <*>)","['PM', 'response', 'took', '<*>', 'ms', '(', '<*>', ',', '<*>', ')']","{3: 'Time::Duration', 6: 'Object::ValueExpression', 8: 'Object::Process'}","PM response took 2010 ms (54, powerd)",mac
"ARPT: <*>: <*>: Roamed or switched channel, reason <*>, bssid <*>:<*>:<*>:<*>:<*>:<*>, last RSSI <*>","['ARPT', ':', '<*>', ':', '<*>', ':', 'Roamed', 'or', 'switched', 'channel', ',', 'reason', '<*>', ',', 'bssid', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ',', 'last', 'RSSI', '<*>']","{4: 'Object::ComputingResource', 12: 'Object::ValueExpression', 15: 'Location::MAC', 17: 'Location::MAC', 19: 'Location::MAC', 21: 'Location::MAC', 23: 'Location::MAC', 25: 'Location::MAC', 29: 'Object::ValueExpression'}","ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",mac
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,"['nw_nat64_post_new_ifstate', 'successfully', 'changed', 'NAT64', 'ifstate', 'from', '0x4', 'to', '0x8000000000000000']",{},nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,mac
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","['IO80211AWDLPeerManager', ':', ':', 'setAwdlSuspendedMode', '(', ')', 'Suspending', 'AWDL', ',', 'enterQuietMode', '(', 'true', ')']",{},"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",mac
"network_reachability_changed : network is not reachable, netbiosd is shutting down","['network_reachability_changed', ':', 'network', 'is', 'not', 'reachable', ',', 'netbiosd', 'is', 'shutting', 'down']",{},"network_reachability_changed : network is not reachable, netbiosd is shutting down",mac
CCFile::captureLogRun() Exiting CCFile::captureLogRun,"['CCFile', ':', ':', 'captureLogRun', '(', ')', 'Exiting', 'CCFile', ':', ':', 'captureLogRun']",{},CCFile::captureLogRun() Exiting CCFile::captureLogRun,mac
com.apple.Addres(<*>) deny network-outbound /private/var/run/mDNSResponder,"['com.apple.Addres', '(', '<*>', ')', 'deny', 'network-outbound', '/private/var/run/mDNSResponder']",{2: 'Object::ValueExpression'},com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,mac
ARPT: <*>: <*>: MDNS: IPV6 Addr: <*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>,"['ARPT', ':', '<*>', ':', '<*>', ':', 'MDNS', ':', 'IPV6', 'Addr', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>']","{2: 'Object::ValueExpression', 4: 'Object::ComputingResource', 11: 'Location::IP-Port::IP', 13: 'Location::IP-Port::IP', 15: 'Location::IP-Port::IP', 17: 'Location::IP-Port::IP', 19: 'Location::IP-Port::IP', 21: 'Location::IP-Port::IP', 23: 'Location::IP-Port::IP', 25: 'Location::IP-Port::IP'}",ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,mac
AirPort: Link <*> on <*>,"['AirPort', ':', 'Link', '<*>', 'on', '<*>']","{3: 'StatusMessage', 5: 'Object::ComputingResource'}",AirPort: Link Up on en0,mac
Sandbox: <*>(<*>) deny(1) <*> <*>,"['Sandbox', ':', '<*>', '(', '<*>', ')', 'deny', '(', '1', ')', '<*>', '<*>']","{2: 'Object::ComputingResource', 4: 'Object::ValueExpression', 11: 'Location::Path'}",Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,mac
AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,"['AppleThunderboltGenericHAL', ':', ':', 'earlyWake', '-', 'complete', '-', 'took', '<*>', 'milliseconds']",{8: 'Time::Duration'},AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,mac
AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>,"['AppleThunderboltNHIType2', ':', ':', 'waitForOk2Go2Sx', '-', '<*>', '=', '<*>']",{},AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,mac
"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>","['ARPT', ':', '<*>', ':', '<*>', ':', 'wl_update_tcpkeep_seq', ':', 'Updated', 'seq/ack/win', 'from', 'UserClient', 'Seq', '<*>', ',', 'Ack', '<*>', ',', 'Win', 'size', '<*>']",{4: 'Object::ComputingResource'},"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",mac
<*>::IO80211Interface::postMessage bssid changed,"['<*>', ':', ':', 'IO80211Interface', ':', ':', 'postMessage', 'bssid', 'changed']",{0: 'Object::ComputingResource'},en0::IO80211Interface::postMessage bssid changed,mac
AppleCamIn::wakeEventHandlerThread,"['AppleCamIn', ':', ':', 'wakeEventHandlerThread']",{},AppleCamIn::wakeEventHandlerThread,mac
"ARPT: <*>: <*>: setup_keepalive: Local port: <*>, Remote port: <*>","['ARPT', ':', '<*>', ':', '<*>', ':', 'setup_keepalive', ':', 'Local', 'port', ':', '<*>', ',', 'Remote', 'port', ':', '<*>']","{2: 'Object::ValueExpression', 4: 'Object::ComputingResource', 11: 'Location::IP-Port::Port', 16: 'Location::IP-Port::Port'}","ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",mac
-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> <*><*><*><*><*><*><*> opts=(null) when=<*> <*>:<*>:<*> <*> confidence=<*> from=(null)/(null) (UABestAppSuggestionManager.m <*>),"['-', '[', 'UABestAppSuggestionManager', 'notifyBestAppChanged', ':', 'type', ':', 'options', ':', 'bundleIdentifier', ':', 'activityType', ':', 'dynamicIdentifier', ':', 'when', ':', 'confidence', ':', 'deviceName', ':', 'deviceIdentifier', ':', 'deviceType', ':', ']', '(', 'null', ')', 'UASuggestedActionType', '=', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'opts', '=', '(', 'null', ')', 'when', '=', '<*>', '<*>', ':', '<*>', ':', '<*>', '<*>', 'confidence', '=', '<*>', 'from', '=', '(', 'null', ')', '/', '(', 'null', ')', '(', 'UABestAppSuggestionManager.m', '<*>', ')']","{67: 'Object::ValueExpression', 52: 'Time::Timestamp', 51: 'Time::Timestamp', 46: 'Time::Timestamp', 47: 'Time::Timestamp', 49: 'Time::Timestamp'}",-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),mac
-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),"['-', '[', 'UABestAppSuggestionManager', 'notifyBestAppChanged', ':', 'type', ':', 'options', ':', 'bundleIdentifier', ':', 'activityType', ':', 'dynamicIdentifier', ':', 'when', ':', 'confidence', ':', 'deviceName', ':', 'deviceIdentifier', ':', 'deviceType', ':', ']', '(', 'null', ')', 'UASuggestedActionType', '=', '0', '(', 'null', ')', '/', '(', 'null', ')', 'opts', '=', '(', 'null', ')', 'when', '=', '2017-07-01', '17', ':', '08', ':', '20', '+0000', 'confidence', '=', '1', 'from', '=', '(', 'null', ')', '/', '(', 'null', ')', '(', 'UABestAppSuggestionManager.m', '#319', ')']",{},-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),mac
<*>: <*> changed to <*>,"['<*>', ':', '<*>', 'changed', 'to', '<*>']","{0: 'Object::ComputingResource', 2: 'Other::ClosedSet', 5: 'Object::ValueExpression'}",en0: channel changed to 1,mac
ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>) <*> <*> <*> <*>,"['ARPT', ':', '<*>', ':', 'AQM', 'agg', 'results', '<*>', 'len', 'hi/lo', ':', '<*>', '<*>', 'BAbitmap', '(', '<*>', ')', '<*>', '<*>', '<*>', '<*>']","{2: 'Object::ValueExpression', 7: 'Object::ValueExpression', 11: 'Object::ValueExpression', 12: 'Object::ValueExpression', 15: 'Object::ValueExpression', 17: 'Object::ValueExpression', 18: 'Object::ValueExpression', 19: 'Object::ValueExpression', 20: 'Object::ValueExpression'}",ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,mac
"CCFile::captureLog Received Capture notice id: <*>, reason = <*><*><*><*><*><*><*>","['CCFile', ':', ':', 'captureLog', 'Received', 'Capture', 'notice', 'id', ':', '<*>', ',', 'reason', '=', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']",{},"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0",mac
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlOperatingMode', 'Setting', 'the', 'AWDL', 'operation', 'mode', 'from', '<*>', 'to', '<*>']","{10: 'Other::ClosedSet', 12: 'Other::ClosedSet'}",IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,mac
Unrecognized attribute value: <*><*><*>,"['Unrecognized', 'attribute', 'value', ':', '<*>', '<*>', '<*>']",{},Unrecognized attribute value: t:AbchPersonItemType,mac
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","['SOSAccountThisDeviceCanSyncWithCircle', 'sync', 'with', 'device', 'failure', ':', 'Error', 'Domain', '=', '<*>', 'Code', '=', '<*>', '""', 'Account', 'identity', 'not', 'set', '""', 'UserInfo', '=', '{', 'NSDescription', '=', 'Account', 'identity', 'not', 'set', '}']",{},"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",mac
"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","['CFPasteboardRef', 'CFPasteboardCreate', '(', 'CFAllocatorRef', ',', 'CFStringRef', ')', ':', 'failed', 'to', 'create', 'global', 'data']",{},"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",mac
<*>:<*>:<*> : BTLE scanner Powered <*>,"['<*>', ':', '<*>', ':', '<*>', ':', 'BTLE', 'scanner', 'Powered', '<*>']","{0: 'Time::Timestamp', 2: 'Time::Timestamp', 4: 'Time::Timestamp', 9: 'Other::ClosedSet'}",10:46:47.425 : BTLE scanner Powered On,mac
button report: <*>,"['button', 'report', ':', '<*>']",{},button report: 0x8002be0,mac
<*>:<*>:<*> : BTLE discovered device with hash <<*> <*> <*>>,"['<*>', ':', '<*>', ':', '<*>', ':', 'BTLE', 'discovered', 'device', 'with', 'hash', '<', '<*>', '<*>', '<*>', '>']","{4: 'Time::Timestamp', 2: 'Time::Timestamp', 0: 'Time::Timestamp', 12: 'Object::ValueExpression', 13: 'Object::ValueExpression', 14: 'Object::ValueExpression'}",11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,mac
"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=<*> Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","['securityd_xpc_dictionary_handler', 'cloudd', '[', '<*>', ']', 'copy_matching', 'Error', 'Domain', '=', '<*>', 'Code', '=', '<*>', '""', 'query', 'missing', 'class', 'name', '""', '(', 'paramErr', ':', 'error', 'in', 'user', 'parameter', 'list', ')', 'UserInfo', '=', '{', 'NSDescription', '=', 'query', 'missing', 'class', 'name', '}']",{3: 'Object::ValueExpression'},"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",mac
Location icon should now be in state '<*>',"['Location', 'icon', 'should', 'now', 'be', 'in', 'state', ""'"", '<*>', ""'""]",{8: 'Other::ClosedSet'},Location icon should now be in state 'Inactive',mac
"ARPT: <*>: <*>: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>","['ARPT', ':', '<*>', ':', '<*>', ':', 'setup_keepalive', ':', 'interval', '<*>', ',', 'retry_interval', '<*>', ',', 'retry_count', '<*>']","{2: 'Object::ValueExpression', 4: 'Object::ComputingResource'}","ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",mac
ARPT: <*>: <*>: MDNS: <*> Addr: <*>,"['ARPT', ':', '<*>', ':', '<*>', ':', 'MDNS', ':', '<*>', 'Addr', ':', '<*>']","{4: 'Object::ComputingResource', 11: 'Location::IP-Port::IP'}",ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,mac
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,"['__42-', '[', 'NETClientConnection', 'evaluateCrazyIvan46', ']', '_block_invoke', 'CI46', '-', 'Hit', 'by', 'torpedo!', '<*>', '<*>', '<*>', ':', '<*>']","{15: 'Location::IP-Port::Port', 13: 'Location::IP-Port::IP', 12: 'Object::ComputingResource', 11: 'Object::ComputingResource'}",__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,mac
"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>","['Setting', 'BTCoex', 'Config', ':', 'enable_2G', ':', '<*>', ',', 'profile_2g', ':', '<*>', ',', 'enable_5G', ':', '<*>', ',', 'profile_5G', ':', '<*>']","{6: 'Other::ClosedSet', 10: 'Other::ClosedSet', 14: 'Other::ClosedSet', 18: 'Other::ClosedSet'}","Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",mac
Captive: [CNInfoNetworkActive:<*>] <*>: SSID 'CalVisitor' making interface primary (cache indicates network not captive),"['Captive', ':', '[', 'CNInfoNetworkActive', ':', '<*>', ']', '<*>', ':', 'SSID', ""'"", 'CalVisitor', ""'"", 'making', 'interface', 'primary', '(', 'cache', 'indicates', 'network', 'not', 'captive', ')']",{7: 'Object::ComputingResource'},Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),mac
-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,"['-', '[', 'NetworkAnalyticsEngine', '_writeJournalRecord', ':', 'fromCellFingerprint', ':', 'key', ':', 'atLOI', ':', 'ofKind', ':', 'lqm', ':', 'isFaulty', ':', ']', 'Hashing', 'of', 'the', 'primary', 'key', 'failed', '.', 'Dropping', 'the', 'journal', 'record.']",{},-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,mac
<*>:<*>:<*> : <*> generating hashes,"['<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'generating', 'hashes']","{0: 'Time::Timestamp', 2: 'Time::Timestamp', 4: 'Time::Timestamp', 6: 'Other::ClosedSet'}",11:46:19.229 : Finished generating hashes,mac
Captive: CNPluginHandler en0: <*>,"['Captive', ':', 'CNPluginHandler', 'en0', ':', '<*>']",{5: 'Other::ClosedSet'},Captive: CNPluginHandler en0: Evaluating,mac
tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*> failed: [<*>] Network is <*>,"['tcp_connection_destination_perform_socket_connect', '<*>', 'connectx', 'to', '<*>', ':', '<*>', 'failed', ':', '[', '<*>', ']', 'Network', 'is', '<*>']","{1: 'Object::ValueExpression', 4: 'Location::IP-Port::IP', 6: 'Location::IP-Port::Port', 10: 'Object::ValueExpression', 14: 'Other::ClosedSet'}",tcp_connection_destination_perform_socket_connect 19110 connectx to 183.57.48.75:80@0 failed: [50] Network is down,mac
"USBMSC Identifier (non-unique): <*> <*> <*> <*>, <*>","['USBMSC', 'Identifier', '(', 'non-unique', ')', ':', '<*>', '<*>', '<*>', '<*>', ',', '<*>']","{6: 'Object::ValueExpression', 7: 'Object::ValueExpression', 8: 'Object::ValueExpression', 9: 'Object::ValueExpression', 11: 'Object::ValueExpression'}","USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",mac
CCXPCService::setStreamEventHandler Registered for notification callback.,"['CCXPCService', ':', ':', 'setStreamEventHandler', 'Registered', 'for', 'notification', 'callback.']",{},CCXPCService::setStreamEventHandler Registered for notification callback.,mac
[<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,"['[', '<*>', ':', 'WARNING', ':', 'dns_config_service_posix.cc', '(', '<*>', ')', ']', 'Failed', 'to', 'read', 'DnsConfig.']","{1: 'Object::ValueExpression', 7: 'Object::ValueExpression'}",[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,mac
